Time (min),Inner can left (°C),Inner can right (°C),Outer can left (°C),Outer can right (°C),Air refrigerator (°C)
0,19.08979875,19.0794117,19.1114145,19.00613644,19.6332057
3,19.08763688,19.07647898,19.10809798,19.00898151,19.54470294
6,19.06630629,19.06032057,19.09968569,19.00211878,19.32419541
9,19.02724943,19.02999579,19.08288134,18.99091313,19.09605004
12,18.97351326,18.97960446,19.06097404,18.97851297,18.7912402
15,18.91885954,18.92653501,19.02839509,18.95783562,18.52447657
18,18.86610154,18.8690238,18.99718326,18.92834976,18.27183667
21,18.80293158,18.80761415,18.95816419,18.8890868,18.00607505
24,18.7305445,18.74494403,18.92154575,18.847186,17.76028478
27,18.66642296,18.67297127,18.87548228,18.79823655,17.5067282
30,18.59898757,18.60444438,18.83384975,18.75871742,17.22911466
33,18.51865136,18.53234589,18.78519436,18.71192902,17.12336812
36,18.44901279,18.46143971,18.73790656,18.66562798,16.90353904
39,18.36807952,18.38684266,18.69146792,18.61707809,16.75209605
42,18.29689356,18.3057997,18.63358305,18.56672829,16.63166759
45,18.21036981,18.23078656,18.57824608,18.52223533,16.44542634
48,18.13876158,18.15608398,18.53299817,18.46269539,16.29205834
51,18.06184689,18.08233315,18.48212182,18.40629314,16.17637749
54,17.97899219,18.00366663,18.42580009,18.35979424,16.11981285
57,17.90080754,17.92446066,18.36239024,18.29958903,15.98390852
60,17.82860853,17.84455289,18.31401263,18.24290483,15.85490709
63,17.7457588,17.7694812,18.25565127,18.18802958,15.81224133
66,17.66817083,17.69048485,18.1975881,18.12711635,15.65411026
69,17.58140295,17.61293746,18.14129015,18.07659607,15.60809547
72,17.5086117,17.53549994,18.08158363,18.01333176,15.50857607
75,17.42447153,17.45428764,18.0296418,17.95396411,15.44119895
78,17.34023169,17.37859128,17.95981015,17.89902279,15.41911616
81,17.26952895,17.29542989,17.90658816,17.8314764,15.28950595
84,17.1878908,17.21759173,17.84028074,17.77594061,15.26696592
87,17.10558221,17.14214445,17.78407174,17.71448851,15.18969934
90,17.03640003,17.06229917,17.72835554,17.65669695,15.08099222
93,16.9528811,16.98901942,17.66129118,17.58981185,15.12054137
96,16.86947342,16.90905924,17.60700906,17.53588093,15.01896216
99,16.79635889,16.83214558,17.54725289,17.47165639,14.95907404
102,16.72309041,16.75982447,17.48656574,17.41480661,14.90701331
105,16.64231839,16.6827812,17.41527732,17.35214182,14.92837329
108,16.56660067,16.60614773,17.35590578,17.29231396,14.82055419
111,16.48812901,16.52799182,17.29789758,17.23163232,14.77176658
114,16.41584803,16.45356381,17.24256091,17.16637309,14.71281539
117,16.34066728,16.37975433,17.18312721,17.11383789,14.62617362
120,16.26233218,16.30659,17.11972863,17.05973052,14.66370061
123,16.18771136,16.23214406,17.05824874,16.98664714,14.55892455
126,16.12230778,16.15875379,17.00073975,16.93046897,14.42550147
129,16.04343515,16.08839367,16.94511241,16.86928313,14.43306356
132,15.97178609,16.01421083,16.87967257,16.81257102,14.34421942
135,15.90278391,15.94415243,16.82550014,16.75347365,14.35580409
138,15.83176788,15.87130636,16.76171336,16.69391045,14.31020581
141,15.76016216,15.80300627,16.70708075,16.6322773,14.25642594
144,15.6901926,15.72582496,16.64747273,16.57263529,14.22062469
147,15.62007015,15.65981718,16.58686495,16.51044374,14.16983368
150,15.5493111,15.59208221,16.53223225,16.45489947,14.12020117
153,15.48276503,15.52377847,16.47231908,16.39843561,14.05193063
