Time (min),Inner can left (°C),Inner can right (°C),Outer can left (°C),Outer can right (°C),Air refrigerator (°C)
0,17.65337722,17.52013069,17.54008566,17.60920749,17.91566233
3,17.64955506,17.51831461,17.53900867,17.6097143,17.88132871
6,17.6345701,17.50955959,17.53102784,17.60165947,17.68584627
9,17.58464835,17.48923716,17.51707028,17.58946489,17.42560261
12,17.54459651,17.45587323,17.49968908,17.57187209,17.16540088
15,17.50274946,17.41501262,17.47107524,17.54945187,16.90127184
18,17.44633954,17.36328474,17.43338849,17.51816951,16.61915595
21,17.38242224,17.30711119,17.39906832,17.47012303,16.39675495
24,17.31947052,17.25049526,17.35522559,17.4266665,16.15538571
27,17.24973037,17.19060983,17.32190809,17.39088484,15.94157933
30,17.17573673,17.12383143,17.27729748,17.34563981,15.73450284
33,17.10365927,17.0561889,17.2412532,17.29699447,15.48993511
36,17.03576947,16.99178368,17.19351633,17.25823231,15.37325129
39,16.95393962,16.92184834,17.14755282,17.20188661,15.10426755
42,16.8753078,16.85366606,17.10286918,17.14942527,14.98723481
45,16.7957065,16.78251165,17.04736862,17.0987801,14.86336975
48,16.72173001,16.71135029,16.99066386,17.03507186,14.67870313
51,16.64299793,16.63983131,16.93680322,16.99046504,14.53088793
54,16.56282055,16.56859072,16.89078577,16.94131517,14.47403663
57,16.47593268,16.49486117,16.83608469,16.88232036,14.34188305
60,16.40912858,16.42460885,16.79010462,16.84394014,14.26614991
63,16.32559833,16.35191412,16.73988485,16.78428954,14.21235161
66,16.24653063,16.28385746,16.68568366,16.73297291,14.11708824
69,16.1686408,16.20681106,16.63206746,16.68037627,13.93962139
72,16.08687192,16.13446076,16.57810265,16.61384986,13.92883453
75,16.00936349,16.05885951,16.52272218,16.569024,13.81756342
78,15.92979092,15.98751738,16.46723756,16.51209609,13.75477672
81,15.85354478,15.91517456,16.41261607,16.45293527,13.72224206
84,15.77491248,15.84304853,16.35050678,16.40197805,13.64812135
87,15.6959337,15.77103293,16.29754838,16.33448881,13.66765689
90,15.61753821,15.69696218,16.24337809,16.27071352,13.61932975
93,15.53874203,15.62424922,16.18222729,16.22117172,13.49375849
96,15.46297256,15.55192479,16.13194814,16.1545334,13.48204801
99,15.38386646,15.48090627,16.06943047,16.10038274,13.40136519
102,15.31086124,15.40592941,16.01625149,16.04692704,13.37561317
105,15.23326838,15.33677885,15.96478263,15.99197509,13.3187719
108,15.15215229,15.26328879,15.90925437,15.93444127,13.19165317
