Time (min),Inner can left (°C),Inner can right (°C),Outer can left (°C),Outer can right (°C),Air refrigerator (°C)
0,18.46232481,18.35087217,18.25160287,18.36600923,18.64549394
3,18.46821984,18.35352822,18.24834488,18.3656731,18.54753465
6,18.45718513,18.35052006,18.23935261,18.35967271,18.36361539
9,18.41311973,18.33342082,18.23193416,18.34496719,18.14213704
12,18.35972973,18.29731616,18.21501511,18.32938525,17.87470858
15,18.31091907,18.25097051,18.190671,18.30701164,17.60561424
18,18.272385,18.19466054,18.15266613,18.26277495,17.35976373
21,18.20492636,18.13536995,18.11153946,18.22629343,17.14075778
24,18.13730298,18.068804,18.06514325,18.18471804,16.84883344
27,18.06312388,17.99698466,18.0301773,18.14443571,16.57212158
30,17.98511312,17.92404398,17.98873858,18.10070753,16.38085855
33,17.90621844,17.84701618,17.94166287,18.05236309,16.13099025
36,17.82466844,17.77915905,17.89745659,18.0058322,15.90173774
39,17.74790611,17.70032123,17.84782951,17.96070885,15.79529657
42,17.66619875,17.62033946,17.7903704,17.9000451,15.60167157
45,17.57875548,17.54975536,17.74642612,17.85462105,15.53981819
48,17.49380618,17.47040255,17.69927244,17.79338708,15.3651986
51,17.40866574,17.38638887,17.63918545,17.7435404,15.25883536
54,17.31669536,17.30962183,17.59275051,17.69611864,15.11086225
57,17.23485531,17.23415149,17.53575052,17.63718114,15.00002804
60,17.14484889,17.15554664,17.48335761,17.57422831,14.90498238
63,17.05868844,17.07695157,17.42639809,17.52881074,14.80425253
66,16.97606939,16.9976046,17.3703403,17.47109722,14.720984
69,16.88673838,16.91801996,17.31421977,17.41349696,14.64197963
72,16.80224614,16.83764378,17.25505432,17.34806559,14.55233937
75,16.72065423,16.75995666,17.19977412,17.2999278,14.48092713
78,16.6272362,16.67976709,17.14082858,17.23390711,14.39643241
81,16.54156985,16.5992363,17.07918334,17.17764428,14.2900851
84,16.45551277,16.52165697,17.02622521,17.11782266,14.25713145
87,16.3721645,16.4371812,16.96066767,17.05631003,14.18291114
90,16.2840759,16.36281177,16.90205067,17.00008071,14.12651842
93,16.20322648,16.28357879,16.84641534,16.93772638,14.05904873
96,16.11878344,16.20427004,16.7819419,16.87817915,14.0069351
99,16.03209525,16.12795743,16.72433423,16.81676086,13.9303847
102,15.94813727,16.04927395,16.66896342,16.75305658,13.90863697
105,15.87067846,15.96991319,16.60039285,16.69852315,13.81045254
108,15.78767431,15.89703745,16.54322133,16.64163137,13.78686804
111,15.70539457,15.8167987,16.48042469,16.57841066,13.73632194
114,15.62356948,15.74236295,16.42275647,16.52190185,13.68689048
117,15.54707756,15.66866845,16.36836237,16.46089185,13.66920352
